,0,1,2,3,4,5,6
0,2,-1,4,2,6,8,0.0469460797019
1,2,-1,4,6,6,8,0.365030197767
2,2,-1,4,10,6,7,0.542399346943
3,2,-1,4,14,6,7,0.598587566521
4,2,-1,4,18,6,7,0.621905923183
5,2,0,0,2,3,3,0.0361175488514
6,2,0,1,2,59,77,0.887910756843
7,2,0,1,6,52,73,0.869760049512
8,2,0,1,10,44,69,0.614820021974
9,2,0,1,14,42,65,0.356586961216
10,2,0,2,2,59,77,0.887910756843
11,2,0,2,6,52,73,0.869760049512
12,2,0,2,10,44,69,0.614820021974
13,2,0,2,14,42,65,0.356586961216
14,2,0,3,2,59,77,0.887910756843
15,2,0,3,6,52,73,0.869760049512
16,2,0,3,10,44,69,0.614820021974
17,2,0,3,14,42,65,0.356586961216
18,2,0,4,2,59,77,0.887910756843
19,2,0,4,6,52,73,0.869760049512
20,2,0,4,10,44,69,0.614820021974
21,2,0,4,14,42,65,0.356586961216
22,2,1,-1,2,725,974,4.89817972187
23,2,1,-1,6,623,970,5.08598253535
24,2,1,-1,10,615,966,5.89090707314
25,2,1,-1,14,625,962,7.17000545564
26,2,1,-1,18,614,958,7.98918684819
27,2,1,0,2,294,296,5.06555854134
28,2,1,0,6,254,292,4.48668638089
29,2,1,0,10,240,288,4.84096128835
30,2,1,0,14,234,284,5.04084221742
31,2,1,0,18,223,280,4.89068566996
32,2,1,1,2,294,296,5.03272371258
33,2,1,1,6,248,292,4.59045668596
34,2,1,1,10,232,288,4.66329361989
35,2,1,1,14,226,284,4.55416613887
36,2,1,1,18,203,280,4.25843359697
37,2,1,2,2,291,296,4.33369161032
38,2,1,2,6,246,292,4.00774033117
39,2,1,2,10,216,288,3.98163420235
40,2,1,2,14,211,284,3.82407072965
41,2,1,2,18,194,280,3.54573476686
42,2,1,3,2,282,296,4.12612726866
43,2,1,3,6,240,292,3.85908848812
44,2,1,3,10,207,288,3.94202166871
45,2,1,3,14,201,284,3.87040043371
46,2,1,3,18,190,280,3.66136683878
47,2,1,4,2,279,296,4.15320241782
48,2,1,4,6,241,292,3.91998065933
49,2,1,4,10,220,288,4.04851746266
50,2,1,4,14,214,284,4.00947537813
51,2,1,4,18,192,280,3.81207093278
52,2,2,-3,18,578,958,4.97511257353
53,2,2,-2,2,725,974,4.89817972187
54,2,2,-2,6,623,970,5.08598253535
55,2,2,-2,10,615,966,5.89090707314
56,2,2,-2,14,625,962,7.17000545564
57,2,2,-2,18,614,958,7.98918684819
58,2,2,-1,2,167,176,2.22534885948
59,2,2,-1,6,137,172,2.02968392857
60,2,2,-1,10,126,169,1.99442573728
61,2,2,-1,14,118,165,2.09690778242
62,2,2,-1,18,114,162,2.04469703717
63,2,2,0,2,294,296,5.06555854134
64,2,2,0,6,254,292,4.48668638089
65,2,2,0,10,240,288,4.84096128835
66,2,2,0,14,234,284,5.04084221742
67,2,2,0,18,223,280,4.89068566996
68,2,2,1,2,294,296,5.27876180367
69,2,2,1,6,260,292,4.86055162243
70,2,2,1,10,232,288,4.93714593634
71,2,2,1,14,222,284,4.91033649694
72,2,2,1,18,211,280,4.56270946693
73,2,2,2,2,294,296,5.03272371258
74,2,2,2,6,248,292,4.59045668596
75,2,2,2,10,232,288,4.66329361989
76,2,2,2,14,226,284,4.55416613887
77,2,2,2,18,203,280,4.25843359697
78,2,2,3,2,292,296,4.6347648652
79,2,2,3,6,249,292,4.22556118381
80,2,2,3,10,222,288,4.24023535636
81,2,2,3,14,211,284,4.0019610784
82,2,2,3,18,198,280,3.70096253995
83,2,2,4,2,291,296,4.33369161032
84,2,2,4,6,246,292,4.00774033117
85,2,2,4,10,216,288,3.98163420235
86,2,2,4,14,211,284,3.82407072965
87,2,2,4,18,194,280,3.54573476686
88,2,3,-5,18,579,958,4.27558080379
89,2,3,-4,2,626,974,2.45025667224
90,2,3,-4,14,582,962,4.65867703734
91,2,3,-4,18,584,958,5.49602825031
92,2,3,-3,2,725,974,4.89817972187
93,2,3,-3,6,623,970,5.08598253535
94,2,3,-3,10,615,966,5.89090707314
95,2,3,-3,14,625,962,7.17000545564
96,2,3,-3,18,614,958,7.98918684819
97,2,3,-2,2,814,924,9.98957416265
98,2,3,-2,6,673,920,9.5831900972
99,2,3,-2,10,664,916,10.4806731677
100,2,3,-2,14,646,912,11.4447570738
101,2,3,-2,18,625,908,12.1009019354
102,2,3,-1,2,1,1,0.0271286932027
103,2,3,-1,6,1,1,0.0275089430511
104,2,3,-1,10,1,1,0.0034880368379
105,2,3,-1,14,1,1,0.015971035711
106,2,3,-1,18,1,1,0.0368742644554
107,2,3,0,2,294,296,5.06555854134
108,2,3,0,6,254,292,4.48668638089
109,2,3,0,10,240,288,4.84096128835
110,2,3,0,14,234,284,5.04084221742
111,2,3,0,18,223,280,4.89068566996
112,2,3,1,2,293,296,5.39264700114
113,2,3,1,6,255,292,4.95412657385
114,2,3,1,10,235,288,5.09076836942
115,2,3,1,14,225,284,5.18268344244
116,2,3,1,18,216,280,4.94619195635
117,2,3,2,2,293,296,5.21449277931
118,2,3,2,6,255,292,4.78688043726
119,2,3,2,10,234,288,4.87440786044
120,2,3,2,14,221,284,4.85864928015
121,2,3,2,18,207,280,4.51664428535
122,2,3,3,2,294,296,5.03272371258
123,2,3,3,6,248,292,4.59045668596
124,2,3,3,10,232,288,4.66329361989
125,2,3,3,14,226,284,4.55416613887
126,2,3,3,18,203,280,4.25843359697
127,2,3,4,2,292,296,4.76879771081
128,2,3,4,6,255,292,4.35056869795
129,2,3,4,10,229,288,4.44494645149
130,2,3,4,14,216,284,4.26027733638
131,2,3,4,18,200,280,3.92569376456
132,2,4,-5,2,635,974,2.89616663289
133,2,4,-5,6,585,970,3.2280183473
134,2,4,-5,10,586,966,3.68688460606
135,2,4,-5,14,582,962,5.08185773229
136,2,4,-5,18,599,958,6.15201046968
137,2,4,-4,2,725,974,4.89817972187
138,2,4,-4,6,623,970,5.08598253535
139,2,4,-4,10,615,966,5.89090707314
140,2,4,-4,14,625,962,7.17000545564
141,2,4,-4,18,614,958,7.98918684819
142,2,4,-3,2,828,974,8.75648753942
143,2,4,-3,6,684,970,8.5522371631
144,2,4,-3,10,679,966,9.54152633554
145,2,4,-3,14,663,962,10.5989930444
146,2,4,-3,18,643,958,11.225881498
147,2,4,-2,2,167,176,2.22534885948
148,2,4,-2,6,137,172,2.02968392857
149,2,4,-2,10,126,169,1.99442573728
150,2,4,-2,14,118,165,2.09690778242
151,2,4,-2,18,114,162,2.04469703717
152,2,4,-1,2,50,51,1.11590575305
153,2,4,-1,6,45,50,1.11307433664
154,2,4,-1,10,45,48,1.20516519266
155,2,4,-1,14,46,48,1.20872877555
156,2,4,-1,18,43,46,1.31270147836
157,2,4,0,2,294,296,5.06555854134
158,2,4,0,6,254,292,4.48668638089
159,2,4,0,10,240,288,4.84096128835
160,2,4,0,14,234,284,5.04084221742
161,2,4,0,18,223,280,4.89068566996
162,2,4,1,2,292,296,5.42906385577
163,2,4,1,6,257,292,5.06417495537
164,2,4,1,10,240,288,5.29259178553
165,2,4,1,14,228,284,5.50569613773
166,2,4,1,18,217,280,5.25253082483
167,2,4,2,2,294,296,5.27876180367
168,2,4,2,6,260,292,4.86055162243
169,2,4,2,10,232,288,4.93714593634
170,2,4,2,14,222,284,4.91033649694
171,2,4,2,18,211,280,4.56270946693
172,2,4,3,2,295,296,5.16988214005
173,2,4,3,6,257,292,4.75092523302
174,2,4,3,10,234,288,4.8633511415
175,2,4,3,14,225,284,4.83842010568
176,2,4,3,18,206,280,4.53045155892
177,2,4,4,2,294,296,5.03272371258
178,2,4,4,6,248,292,4.59045668596
179,2,4,4,10,232,288,4.66329361989
180,2,4,4,14,226,284,4.55416613887
181,2,4,4,18,203,280,4.25843359697
182,6,-1,3,2,8,11,0.164605947729
183,6,-1,3,6,10,11,0.583365859325
184,6,-1,3,10,11,11,0.965995278437
185,6,-1,3,14,11,11,0.990313477517
186,6,-1,3,18,11,11,0.985786833464
187,6,-1,4,2,8,11,0.121642111433
188,6,-1,4,6,10,11,0.607566635283
189,6,-1,4,10,11,11,0.996189492542
190,6,-1,4,14,11,11,1.00475181367
191,6,-1,4,18,11,11,0.970853816122
192,6,0,0,2,3,3,0.0361175488514
193,6,0,1,2,38,49,0.428746853516
194,6,0,1,6,32,45,0.4252475437
195,6,0,1,10,27,43,0.344404486643
196,6,0,2,2,38,49,0.428746853516
197,6,0,2,6,32,45,0.4252475437
198,6,0,2,10,27,43,0.344404486643
199,6,0,3,2,38,49,0.428746853516
200,6,0,3,6,32,45,0.4252475437
201,6,0,3,10,27,43,0.344404486643
202,6,0,4,2,38,49,0.428746853516
203,6,0,4,6,32,45,0.4252475437
204,6,0,4,10,27,43,0.344404486643
205,6,1,0,2,257,292,2.95362465195
206,6,1,0,6,208,288,2.61424962902
207,6,1,0,10,213,284,3.02267569559
208,6,1,0,14,192,280,3.05587476853
209,6,1,0,18,188,276,2.87935459822
210,6,1,1,2,261,292,3.22780837708
211,6,1,1,6,225,288,3.0728351284
212,6,1,1,10,207,284,3.06349888453
213,6,1,1,14,198,280,2.89225114452
214,6,1,1,18,176,276,2.71113569799
215,6,1,2,2,258,292,2.96079037354
216,6,1,2,6,221,288,2.84254465047
217,6,1,2,10,203,284,2.70633758473
218,6,1,2,14,191,280,2.53733562855
219,6,1,2,18,175,276,2.40410838299
220,6,1,3,2,258,292,2.86339552121
221,6,1,3,6,213,288,2.69569070262
222,6,1,3,10,190,284,2.42100383521
223,6,1,3,14,178,280,2.16901343899
224,6,1,3,18,167,276,2.02578715715
225,6,1,4,2,255,292,2.86179966675
226,6,1,4,6,210,288,2.68023609362
227,6,1,4,10,193,284,2.43076988252
228,6,1,4,14,179,280,2.11062334067
229,6,2,-1,2,124,173,0.824939595571
230,6,2,-1,6,106,169,0.825002652162
231,6,2,-1,10,116,165,1.07608160507
232,6,2,-1,14,111,162,1.26912962542
233,6,2,-1,18,102,158,1.46945117056
234,6,2,0,2,257,292,2.95362465195
235,6,2,0,6,208,288,2.61424962902
236,6,2,0,10,213,284,3.02267569559
237,6,2,0,14,192,280,3.05587476853
238,6,2,0,18,188,276,2.87935459822
239,6,2,1,2,260,292,3.32602983312
240,6,2,1,6,221,288,3.07509726684
241,6,2,1,10,206,284,3.05419267505
242,6,2,1,14,189,280,3.04568290486
243,6,2,1,18,178,276,2.71389380046
244,6,2,2,2,261,292,3.22780837708
245,6,2,2,6,225,288,3.0728351284
246,6,2,2,10,207,284,3.06349888453
247,6,2,2,14,198,280,2.89225114452
248,6,2,2,18,176,276,2.71113569799
249,6,2,3,2,257,292,3.08917999518
250,6,2,3,6,222,288,3.03622643757
251,6,2,3,10,203,284,2.97955388054
252,6,2,3,14,192,280,2.76709645638
253,6,2,3,18,177,276,2.60296673623
254,6,2,4,2,258,292,2.96079037354
255,6,2,4,6,221,288,2.84254465047
256,6,2,4,10,203,284,2.70633758473
257,6,2,4,14,191,280,2.53733562855
258,6,2,4,18,175,276,2.40410838299
259,6,3,-2,2,601,930,3.74342616917
260,6,3,-2,6,573,926,4.14031528258
261,6,3,-2,10,580,922,4.89494189529
262,6,3,-2,14,579,918,5.27892939202
263,6,3,-2,18,570,914,5.77678455768
264,6,3,-1,2,1,1,0.0209241896945
265,6,3,0,2,257,292,2.95362465195
266,6,3,0,6,208,288,2.61424962902
267,6,3,0,10,213,284,3.02267569559
268,6,3,0,14,192,280,3.05587476853
269,6,3,0,18,188,276,2.87935459822
270,6,3,1,2,265,292,3.31250482022
271,6,3,1,6,213,288,2.99281909887
272,6,3,1,10,206,284,3.01123606993
273,6,3,1,14,194,280,3.03255663314
274,6,3,1,18,184,276,2.68703740551
275,6,3,2,2,262,292,3.35033040004
276,6,3,2,6,217,288,3.0872123092
277,6,3,2,10,208,284,3.08494106609
278,6,3,2,14,190,280,2.95323219079
279,6,3,2,18,171,276,2.63863184592
280,6,3,3,2,261,292,3.22780837708
281,6,3,3,6,225,288,3.0728351284
282,6,3,3,10,207,284,3.06349888453
283,6,3,3,14,198,280,2.89225114452
284,6,3,3,18,176,276,2.71113569799
285,6,3,4,2,258,292,3.13918280437
286,6,3,4,6,228,288,3.0644420935
287,6,3,4,10,208,284,3.05668309925
288,6,3,4,14,193,280,2.77471076093
289,6,3,4,18,178,276,2.5716516873
290,6,4,-3,2,589,969,2.57374286651
291,6,4,-3,6,581,965,3.11768445019
292,6,4,-3,10,580,961,3.75254515487
293,6,4,-3,14,579,957,4.19744203993
294,6,4,-3,18,580,953,5.23463010596
295,6,4,-2,2,124,173,0.824939595571
296,6,4,-2,6,106,169,0.825002652162
297,6,4,-2,10,116,165,1.07608160507
298,6,4,-2,14,111,162,1.26912962542
299,6,4,-2,18,102,158,1.46945117056
300,6,4,-1,2,24,27,0.383989227048
301,6,4,-1,6,18,27,0.312507746015
302,6,4,-1,10,19,27,0.257178040839
303,6,4,-1,14,16,26,0.294101732662
304,6,4,-1,18,18,26,0.289690511174
305,6,4,0,2,257,292,2.95362465195
306,6,4,0,6,208,288,2.61424962902
307,6,4,0,10,213,284,3.02267569559
308,6,4,0,14,192,280,3.05587476853
309,6,4,0,18,188,276,2.87935459822
310,6,4,1,2,259,292,3.27191349904
311,6,4,1,6,212,288,2.99374289062
312,6,4,1,10,207,284,3.15168964125
313,6,4,1,14,196,280,3.14490931322
314,6,4,1,18,183,276,2.8945225843
315,6,4,2,2,260,292,3.32602983312
316,6,4,2,6,221,288,3.07509726684
317,6,4,2,10,206,284,3.05419267505
318,6,4,2,14,189,280,3.04568290486
319,6,4,2,18,178,276,2.71389380046
320,6,4,3,2,264,292,3.3186227151
321,6,4,3,6,216,288,3.08699728188
322,6,4,3,10,212,284,3.07530413001
323,6,4,3,14,191,280,2.93655739655
324,6,4,3,18,177,276,2.73661737384
325,6,4,4,2,261,292,3.22780837708
326,6,4,4,6,225,288,3.0728351284
327,6,4,4,10,207,284,3.06349888453
328,6,4,4,14,198,280,2.89225114452
329,6,4,4,18,176,276,2.71113569799
330,10,-2,3,10,553,911,5.70064028804
331,10,-2,3,14,554,907,6.98640886971
332,10,-2,3,18,551,903,8.48282048243
333,10,-2,4,14,116,193,2.62317859743
334,10,-1,2,14,116,193,2.62317859743
335,10,-1,3,2,12,17,0.331755451238
336,10,-1,3,6,13,17,0.859249938316
337,10,-1,3,10,16,17,1.19271124537
338,10,-1,3,14,15,17,1.14558440873
339,10,-1,3,18,15,17,1.32302841025
340,10,-1,4,2,10,15,0.299918414121
341,10,-1,4,6,13,15,0.91990785404
342,10,-1,4,10,14,15,1.15022439658
343,10,-1,4,14,13,15,1.08166110675
344,10,-1,4,18,13,15,1.18700854487
345,10,0,0,2,3,3,0.0361175488514
346,10,0,1,2,27,35,0.275338336234
347,10,0,1,6,23,35,0.294724576629
348,10,0,2,2,27,35,0.275338336234
349,10,0,2,6,23,35,0.294724576629
350,10,0,3,2,27,35,0.275338336234
351,10,0,3,6,23,35,0.294724576629
352,10,0,4,2,27,35,0.275338336234
353,10,0,4,6,23,35,0.294724576629
354,10,1,0,2,241,288,2.26630106392
355,10,1,0,6,192,284,1.96758020681
356,10,1,0,10,192,280,2.20147872397
357,10,1,0,14,186,276,2.23338380381
